"sample_id" "condition" "gene_name" "gene_usage_count"
"HD1" "healthy" "IGHV1-18" 69
"HD1" "healthy" "IGHV4-30-2" 16
"HD1" "healthy" "IGHV7-4-1" 0
"HD1" "healthy" "IGHV3-19" 1
"HD1" "healthy" "IGHV3-33" 110
"HD1" "healthy" "IGHV3-69-1" 4
"HD1" "healthy" "IGHV1-69-2" 1
"HD1" "healthy" "IGHV4/OR15-8" 2
"HD1" "healthy" "IGHV2-70D" 7
"HD1" "healthy" "IGHV1-8" 34
"HD1" "healthy" "IGHV3-53" 66
"HD1" "healthy" "IGHV1-46" 43
"HD1" "healthy" "IGHV4-28" 0
"HD1" "healthy" "IGHV1/OR15-4" 0
"HD1" "healthy" "IGHV6-1" 45
"HD1" "healthy" "IGHV3-30-3" 82
"HD1" "healthy" "IGHV3-47" 2
"HD1" "healthy" "IGHV3-66" 32
"HD1" "healthy" "IGHV4-31" 99
"HD1" "healthy" "IGHV3-20" 7
"HD1" "healthy" "IGHV2-70" 7
"HD1" "healthy" "IGHV3-38" 0
"HD1" "healthy" "IGHV3-21" 115
"HD1" "healthy" "IGHV3/OR16-8" 0
"HD1" "healthy" "IGHV3-11" 101
"HD1" "healthy" "IGHV5-51" 86
"HD1" "healthy" "IGHV3-30" 225
"HD1" "healthy" "IGHV1-58" 0
"HD1" "healthy" "IGHV3-64D" 0
"HD1" "healthy" "IGHV1-2" 62
"HD1" "healthy" "IGHV4-30-4" 33
"HD1" "healthy" "IGHV7-81" 0
"HD1" "healthy" "IGHV3-48" 144
"HD1" "healthy" "IGHV3-35" 0
"HD1" "healthy" "IGHV3-7" 161
"HD1" "healthy" "IGHV3-49" 43
"HD1" "healthy" "IGHV5-10-1" 0
"HD1" "healthy" "IGHV3-38-3" 0
"HD1" "healthy" "IGHV1-NL1" 0
"HD1" "healthy" "IGHV3-64" 12
"HD1" "healthy" "IGHV3-13" 28
"HD1" "healthy" "IGHV3-73" 10
"HD1" "healthy" "IGHV2-26" 8
"HD1" "healthy" "IGHV4-55" 0
"HD1" "healthy" "IGHV3-74" 158
"HD1" "healthy" "IGHV1-24" 6
"HD1" "healthy" "IGHV3-9" 107
"HD1" "healthy" "IGHV4-34" 56
"HD1" "healthy" "IGHV1-3" 38
"HD1" "healthy" "IGHV3-NL1" 0
"HD1" "healthy" "IGHV3-71" 0
"HD1" "healthy" "IGHV3-22" 0
"HD1" "healthy" "IGHV3-72" 39
"HD1" "healthy" "IGHV3-43" 15
"HD1" "healthy" "IGHV4-4" 64
"HD1" "healthy" "IGHV3-15" 96
"HD1" "healthy" "IGHV1-68" 0
"HD1" "healthy" "IGHV4-39" 137
"HD1" "healthy" "IGHV2-5" 35
"HD1" "healthy" "IGHV4-59" 113
"HD1" "healthy" "IGHV3-52" 0
"HD1" "healthy" "IGHV1-45" 0
"HD1" "healthy" "IGHV4-61" 96
"HD1" "healthy" "IGHV4-38-2" 0
"HD1" "healthy" "IGHV3-43D" 0
"HD1" "healthy" "IGHV3/OR16-10" 0
"HD1" "healthy" "IGHV1/OR15-1" 0
"HD1" "healthy" "IGHV1-69" 61
"HD1" "healthy" "IGHV3-23" 531
"HD2" "healthy" "IGHV4/OR15-8" 0
"HD2" "healthy" "IGHV7-4-1" 0
"HD2" "healthy" "IGHV4-30-2" 26
"HD2" "healthy" "IGHV7-81" 0
"HD2" "healthy" "IGHV2-70D" 0
"HD2" "healthy" "IGHV3-53" 62
"HD2" "healthy" "IGHV5-10-1" 0
"HD2" "healthy" "IGHV3-38" 0
"HD2" "healthy" "IGHV4-31" 126
"HD2" "healthy" "IGHV4-28" 4
"HD2" "healthy" "IGHV3-19" 0
"HD2" "healthy" "IGHV3-30-3" 1
"HD2" "healthy" "IGHV4-4" 143
"HD2" "healthy" "IGHV3-20" 8
"HD2" "healthy" "IGHV1-69-2" 0
"HD2" "healthy" "IGHV2-70" 37
"HD2" "healthy" "IGHV1-8" 94
"HD2" "healthy" "IGHV4-34" 108
"HD2" "healthy" "IGHV3-11" 145
"HD2" "healthy" "IGHV3-38-3" 0
"HD2" "healthy" "IGHV1/OR15-4" 0
"HD2" "healthy" "IGHV3-64" 13
"HD2" "healthy" "IGHV5-51" 171
"HD2" "healthy" "IGHV2-26" 34
"HD2" "healthy" "IGHV3-64D" 0
"HD2" "healthy" "IGHV4-55" 0
"HD2" "healthy" "IGHV1-24" 35
"HD2" "healthy" "IGHV4-30-4" 4
"HD2" "healthy" "IGHV4-59" 370
"HD2" "healthy" "IGHV3-21" 115
"HD2" "healthy" "IGHV4-61" 58
"HD2" "healthy" "IGHV3-22" 0
"HD2" "healthy" "IGHV1-46" 100
"HD2" "healthy" "IGHV4-38-2" 0
"HD2" "healthy" "IGHV1-58" 8
"HD2" "healthy" "IGHV3-43" 23
"HD2" "healthy" "IGHV3-15" 247
"HD2" "healthy" "IGHV1-68" 0
"HD2" "healthy" "IGHV6-1" 29
"HD2" "healthy" "IGHV2-5" 106
"HD2" "healthy" "IGHV3-33" 133
"HD2" "healthy" "IGHV3-69-1" 4
"HD2" "healthy" "IGHV1-3" 0
"HD2" "healthy" "IGHV3-NL1" 0
"HD2" "healthy" "IGHV3-7" 448
"HD2" "healthy" "IGHV1-NL1" 0
"HD2" "healthy" "IGHV3-71" 1
"HD2" "healthy" "IGHV3-13" 43
"HD2" "healthy" "IGHV3-72" 62
"HD2" "healthy" "IGHV4-39" 322
"HD2" "healthy" "IGHV3-30" 304
"HD2" "healthy" "IGHV3-43D" 1
"HD2" "healthy" "IGHV3-35" 0
"HD2" "healthy" "IGHV3-66" 88
"HD2" "healthy" "IGHV3-9" 182
"HD2" "healthy" "IGHV3/OR16-10" 0
"HD2" "healthy" "IGHV3-23" 745
"HD2" "healthy" "IGHV1/OR15-1" 0
"HD2" "healthy" "IGHV1-45" 0
"HD2" "healthy" "IGHV1-18" 174
"HD2" "healthy" "IGHV3-73" 25
"HD2" "healthy" "IGHV3-48" 218
"HD2" "healthy" "IGHV3/OR16-8" 0
"HD2" "healthy" "IGHV3-47" 1
"HD2" "healthy" "IGHV3-49" 73
"HD2" "healthy" "IGHV1-69" 131
"HD2" "healthy" "IGHV1-2" 157
"HD2" "healthy" "IGHV3-74" 201
"HD2" "healthy" "IGHV3-52" 2
"HD3" "healthy" "IGHV3-69-1" 3
"HD3" "healthy" "IGHV4-34" 76
"HD3" "healthy" "IGHV3-20" 3
"HD3" "healthy" "IGHV2-70D" 10
"HD3" "healthy" "IGHV1/OR15-4" 0
"HD3" "healthy" "IGHV4-28" 0
"HD3" "healthy" "IGHV3-15" 125
"HD3" "healthy" "IGHV2-26" 10
"HD3" "healthy" "IGHV3-19" 0
"HD3" "healthy" "IGHV3-66" 0
"HD3" "healthy" "IGHV1-24" 24
"HD3" "healthy" "IGHV3-48" 172
"HD3" "healthy" "IGHV2-70" 7
"HD3" "healthy" "IGHV4/OR15-8" 3
"HD3" "healthy" "IGHV1-8" 37
"HD3" "healthy" "IGHV3-53" 62
"HD3" "healthy" "IGHV5-10-1" 0
"HD3" "healthy" "IGHV4-38-2" 96
"HD3" "healthy" "IGHV3-64" 1
"HD3" "healthy" "IGHV5-51" 110
"HD3" "healthy" "IGHV1-68" 0
"HD3" "healthy" "IGHV3-47" 0
"HD3" "healthy" "IGHV4-55" 0
"HD3" "healthy" "IGHV2-5" 54
"HD3" "healthy" "IGHV3-9" 133
"HD3" "healthy" "IGHV1-69-2" 0
"HD3" "healthy" "IGHV3-7" 221
"HD3" "healthy" "IGHV3-21" 115
"HD3" "healthy" "IGHV3-11" 84
"HD3" "healthy" "IGHV3-38-3" 0
"HD3" "healthy" "IGHV1-NL1" 0
"HD3" "healthy" "IGHV1-58" 4
"HD3" "healthy" "IGHV3-43" 0
"HD3" "healthy" "IGHV4-4" 69
"HD3" "healthy" "IGHV4-30-2" 0
"HD3" "healthy" "IGHV3-30-3" 6
"HD3" "healthy" "IGHV1-69" 87
"HD3" "healthy" "IGHV4-30-4" 1
"HD3" "healthy" "IGHV4-59" 167
"HD3" "healthy" "IGHV1-3" 58
"HD3" "healthy" "IGHV3-49" 58
"HD3" "healthy" "IGHV4-61" 89
"HD3" "healthy" "IGHV3-71" 2
"HD3" "healthy" "IGHV3-22" 0
"HD3" "healthy" "IGHV3-13" 19
"HD3" "healthy" "IGHV3-72" 56
"HD3" "healthy" "IGHV4-39" 0
"HD3" "healthy" "IGHV3-64D" 0
"HD3" "healthy" "IGHV6-1" 27
"HD3" "healthy" "IGHV3-30" 126
"HD3" "healthy" "IGHV7-4-1" 1
"HD3" "healthy" "IGHV3-33" 145
"HD3" "healthy" "IGHV4-31" 55
"HD3" "healthy" "IGHV3-NL1" 0
"HD3" "healthy" "IGHV3-35" 0
"HD3" "healthy" "IGHV1-45" 0
"HD3" "healthy" "IGHV3-52" 0
"HD3" "healthy" "IGHV3-38" 0
"HD3" "healthy" "IGHV1-46" 42
"HD3" "healthy" "IGHV1/OR15-1" 0
"HD3" "healthy" "IGHV1-18" 99
"HD3" "healthy" "IGHV3-43D" 3
"HD3" "healthy" "IGHV7-81" 0
"HD3" "healthy" "IGHV1-2" 20
"HD3" "healthy" "IGHV3-74" 122
"HD3" "healthy" "IGHV3/OR16-10" 0
"HD3" "healthy" "IGHV3-73" 21
"HD3" "healthy" "IGHV3-23" 347
"HD3" "healthy" "IGHV3/OR16-8" 0
"HD4" "healthy" "IGHV2-70D" 11
"HD4" "healthy" "IGHV3-47" 0
"HD4" "healthy" "IGHV3-64" 4
"HD4" "healthy" "IGHV3-53" 52
