"sample_id" "condition" "gene_name" "gene_usage_count"
"11B_S3" "B" "IGHV1-18" 215
"11B_S3" "B" "IGHV1-2" 124
"11B_S3" "B" "IGHV1-24" 66
"11B_S3" "B" "IGHV1-3" 33
"11B_S3" "B" "IGHV1-46" 218
"11B_S3" "B" "IGHV1-58" 20
"11B_S3" "B" "IGHV1-69" 212
"11B_S3" "B" "IGHV1-8" 74
"11B_S3" "B" "IGHV2-26" 4
"11B_S3" "B" "IGHV2-5" 17
"11B_S3" "B" "IGHV2-70" 18
"11B_S3" "B" "IGHV3-11" 326
"11B_S3" "B" "IGHV3-13" 99
"11B_S3" "B" "IGHV3-15" 243
"11B_S3" "B" "IGHV3-19" 22
"11B_S3" "B" "IGHV3-20" 22
"11B_S3" "B" "IGHV3-21" 451
"11B_S3" "B" "IGHV3-23" 991
"11B_S3" "B" "IGHV3-30" 623
"11B_S3" "B" "IGHV3-30-3" 239
"11B_S3" "B" "IGHV3-33" 339
"11B_S3" "B" "IGHV3-35" 12
"11B_S3" "B" "IGHV3-43" 8
"11B_S3" "B" "IGHV3-43D" 29
"11B_S3" "B" "IGHV3-47" 40
"11B_S3" "B" "IGHV3-48" 377
"11B_S3" "B" "IGHV3-49" 87
"11B_S3" "B" "IGHV3-53" 119
"11B_S3" "B" "IGHV3-64" 3
"11B_S3" "B" "IGHV3-64D" 4
"11B_S3" "B" "IGHV3-66" 233
"11B_S3" "B" "IGHV3-69-1" 4
"11B_S3" "B" "IGHV3-7" 418
"11B_S3" "B" "IGHV3-71" 2
"11B_S3" "B" "IGHV3-72" 29
"11B_S3" "B" "IGHV3-73" 90
"11B_S3" "B" "IGHV3-74" 300
"11B_S3" "B" "IGHV3-9" 239
"11B_S3" "B" "IGHV3-NL1" 3
"11B_S3" "B" "IGHV4-28" 2
"11B_S3" "B" "IGHV4-30-2" 14
"11B_S3" "B" "IGHV4-30-4" 81
"11B_S3" "B" "IGHV4-31" 241
"11B_S3" "B" "IGHV4-34" 443
"11B_S3" "B" "IGHV4-38-2" 102
"11B_S3" "B" "IGHV4-39" 397
"11B_S3" "B" "IGHV4-4" 217
"11B_S3" "B" "IGHV4-55" 1
"11B_S3" "B" "IGHV4-59" 738
"11B_S3" "B" "IGHV4-61" 213
"11B_S3" "B" "IGHV5-10-1" 23
"11B_S3" "B" "IGHV5-51" 133
"11B_S3" "B" "IGHV6-1" 32
"12B_S7" "B" "IGHV1-18" 447
"12B_S7" "B" "IGHV1-2" 197
"12B_S7" "B" "IGHV1-24" 92
"12B_S7" "B" "IGHV1-3" 164
"12B_S7" "B" "IGHV1-45" 4
"12B_S7" "B" "IGHV1-46" 311
"12B_S7" "B" "IGHV1-58" 25
"12B_S7" "B" "IGHV1-69" 540
"12B_S7" "B" "IGHV1-8" 347
