"sample_id" "condition" "gene_name" "gene_usage_count"
"-1h_IgM" "-1h" "IGHV3" 222
"-1h_IgM" "-1h" "IGHV1" 110
"-1h_IgM" "-1h" "IGHV4" 102
"+7d_IgG" "+7d" "IGHV3" 94
"-1h_IgD" "-1h" "IGHV3" 91
"+7d_IgM" "+7d" "IGHV3" 58
"-1h_IgM" "-1h" "IGHV5" 49
"-1h_IgM" "-1h" "IGHV2" 45
"-1h_IgD" "-1h" "IGHV4" 43
"+7d_IgA" "+7d" "IGHV3" 41
"-1h_IgA" "-1h" "IGHV3" 39
"-1h_IgD" "-1h" "IGHV1" 38
"+7d_IgM" "+7d" "IGHV2" 38
"-1h_IgG" "-1h" "IGHV3" 36
"+7d_IgM" "+7d" "IGHV4" 31
"+7d_IgD" "+7d" "IGHV3" 26
"-1h_IgG" "-1h" "IGHV4" 16
"+7d_IgM" "+7d" "IGHV1" 14
"-1h_IgD" "-1h" "IGHV5" 13
"+7d_IgA" "+7d" "IGHV4" 13
"-1h_IgA" "-1h" "IGHV1" 8
"-1h_IgA" "-1h" "IGHV4" 8
"-1h_IgA" "-1h" "IGHV5" 7
"-1h_IgD" "-1h" "IGHV2" 7
"-1h_IgG" "-1h" "IGHV1" 7
"+7d_IgD" "+7d" "IGHV1" 7
"+7d_IgD" "+7d" "IGHV4" 7
"+7d_IgG" "+7d" "IGHV4" 6
"-1h_IgA" "-1h" "IGHV6" 4
"-1h_IgG" "-1h" "IGHV5" 4
"-1h_IgM" "-1h" "IGHV6" 4
"+7d_IgD" "+7d" "IGHV2" 4
"+7d_IgM" "+7d" "IGHV5" 4
"+7d_IgM" "+7d" "IGHV6" 3
"+7d_IgA" "+7d" "IGHV1" 2
"+7d_IgD" "+7d" "IGHV5" 2
"+7d_IgG" "+7d" "IGHV1" 2
"-1h_IgA" "-1h" "IGHV2" 1
"-1h_IgG" "-1h" "IGHV6" 1
"+7d_IgA" "+7d" "IGHV5" 1
"+7d_IgA" "+7d" "IGHV6" 1
"+7d_IgD" "+7d" "IGHV6" 1
"+7d_IgG" "+7d" "IGHV5" 1
