"sample_id" "condition" "gene_name" "gene_usage_count"
"C1" "C" "TRBV10-1" 2301.99999999957
"C10" "C" "TRBV10-1" 520.999999999584
"C11" "C" "TRBV10-1" 98.9999999999706
"C2" "C" "TRBV10-1" 1586.99999999958
"C3" "C" "TRBV10-1" 1463.99999999981
"C4" "C" "TRBV10-1" 264.999999999953
"C5" "C" "TRBV10-1" 1128.9999999998
"C6" "C" "TRBV10-1" 241.999999999937
"C7" "C" "TRBV10-1" 141.999999999975
"C8" "C" "TRBV10-1" 1814.99999999953
"C9" "C" "TRBV10-1" 1350.99999999981
"MS1" "MS" "TRBV10-1" 630.999999999738
"MS10" "MS" "TRBV10-1" 1463.99999999971
"MS11" "MS" "TRBV10-1" 712.999999999761
"MS12" "MS" "TRBV10-1" 521.999999999707
"MS13" "MS" "TRBV10-1" 283.999999999805
"MS2" "MS" "TRBV10-1" 311.999999999761
"MS3" "MS" "TRBV10-1" 1462.99999999941
"MS4" "MS" "TRBV10-1" 413.999999999613
"MS5" "MS" "TRBV10-1" 576.999999999737
"MS6" "MS" "TRBV10-1" 928.999999999645
"MS7" "MS" "TRBV10-1" 1739.99999999948
"MS8" "MS" "TRBV10-1" 771.999999999779
"MS9" "MS" "TRBV10-1" 579.999999999755
"C1" "C" "TRBV10-2" 4458.99999999918
"C10" "C" "TRBV10-2" 807.999999999355
"C11" "C" "TRBV10-2" 564.999999999832
"C2" "C" "TRBV10-2" 3222.99999999915
"C3" "C" "TRBV10-2" 3290.99999999957
"C4" "C" "TRBV10-2" 1701.9999999997
"C5" "C" "TRBV10-2" 2476.99999999955
"C6" "C" "TRBV10-2" 1163.9999999997
"C7" "C" "TRBV10-2" 1051.99999999982
"C8" "C" "TRBV10-2" 2335.99999999939
"C9" "C" "TRBV10-2" 2212.99999999969
"MS1" "MS" "TRBV10-2" 1176.99999999951
"MS10" "MS" "TRBV10-2" 2306.99999999955
"MS11" "MS" "TRBV10-2" 1487.9999999995
"MS12" "MS" "TRBV10-2" 970.999999999456
"MS13" "MS" "TRBV10-2" 554.999999999619
"MS2" "MS" "TRBV10-2" 629.999999999518
"MS3" "MS" "TRBV10-2" 2493.99999999899
"MS4" "MS" "TRBV10-2" 619.99999999942
"MS5" "MS" "TRBV10-2" 1162.99999999947
"MS6" "MS" "TRBV10-2" 1855.99999999929
"MS7" "MS" "TRBV10-2" 2418.99999999928
"MS8" "MS" "TRBV10-2" 1797.99999999949
"MS9" "MS" "TRBV10-2" 1209.99999999949
"C1" "C" "TRBV10-3" 15667.9999999971
"C10" "C" "TRBV10-3" 5154.99999999589
"C11" "C" "TRBV10-3" 14730.9999999956
"C2" "C" "TRBV10-3" 13179.9999999965
"C3" "C" "TRBV10-3" 15235.999999998
"C4" "C" "TRBV10-3" 10974.9999999981
"C5" "C" "TRBV10-3" 12522.9999999977
"C6" "C" "TRBV10-3" 7037.99999999817
"C7" "C" "TRBV10-3" 20589.9999999964
"C8" "C" "TRBV10-3" 18510.9999999952
"C9" "C" "TRBV10-3" 19478.9999999973
"MS1" "MS" "TRBV10-3" 7499.99999999689
"MS10" "MS" "TRBV10-3" 17847.9999999965
"MS11" "MS" "TRBV10-3" 10996.9999999963
"MS12" "MS" "TRBV10-3" 4466.9999999975
"MS13" "MS" "TRBV10-3" 3637.9999999975
"MS2" "MS" "TRBV10-3" 2293.99999999824
"MS3" "MS" "TRBV10-3" 9286.99999999625
"MS4" "MS" "TRBV10-3" 3339.99999999688
"MS5" "MS" "TRBV10-3" 6378.99999999709
"MS6" "MS" "TRBV10-3" 12836.9999999951
"MS7" "MS" "TRBV10-3" 12494.9999999963
"MS8" "MS" "TRBV10-3" 11685.9999999967
"MS9" "MS" "TRBV10-3" 8018.99999999661
"C1" "C" "TRBV11-1" 2029.99999999962
"C10" "C" "TRBV11-1" 378.999999999698
"C11" "C" "TRBV11-1" 1596.99999999953
"C2" "C" "TRBV11-1" 783.999999999794
"C3" "C" "TRBV11-1" 3226.99999999958
"C4" "C" "TRBV11-1" 2280.9999999996
"C5" "C" "TRBV11-1" 2340.99999999958
"C6" "C" "TRBV11-1" 1506.99999999961
"C7" "C" "TRBV11-1" 2674.99999999953
"C8" "C" "TRBV11-1" 1603.99999999958
"C9" "C" "TRBV11-1" 1947.99999999973
"MS1" "MS" "TRBV11-1" 839.999999999651
"MS10" "MS" "TRBV11-1" 863.99999999983
"MS11" "MS" "TRBV11-1" 983.99999999967
"MS12" "MS" "TRBV11-1" 522.999999999707
"MS13" "MS" "TRBV11-1" 426.999999999707
"MS2" "MS" "TRBV11-1" 288.999999999779
"MS3" "MS" "TRBV11-1" 630.999999999745
"MS4" "MS" "TRBV11-1" 371.999999999652
"MS5" "MS" "TRBV11-1" 821.999999999625
"MS6" "MS" "TRBV11-1" 744.999999999715
"MS7" "MS" "TRBV11-1" 1374.99999999959
"MS8" "MS" "TRBV11-1" 1407.9999999996
"MS9" "MS" "TRBV11-1" 810.999999999657
"C1" "C" "TRBV11-2" 14121.9999999974
"C10" "C" "TRBV11-2" 2541.99999999797
"C11" "C" "TRBV11-2" 4053.9999999988
"C2" "C" "TRBV11-2" 9863.99999999741
"C3" "C" "TRBV11-2" 18958.9999999975
"C4" "C" "TRBV11-2" 10970.9999999981
"C5" "C" "TRBV11-2" 13444.9999999976
"C6" "C" "TRBV11-2" 7057.99999999817
"C7" "C" "TRBV11-2" 8608.99999999849
"C8" "C" "TRBV11-2" 8942.99999999768
"C9" "C" "TRBV11-2" 14627.999999998
"MS1" "MS" "TRBV11-2" 3736.99999999845
"MS10" "MS" "TRBV11-2" 9999.99999999803
"MS11" "MS" "TRBV11-2" 3681.99999999877
"MS12" "MS" "TRBV11-2" 3463.99999999806
"MS13" "MS" "TRBV11-2" 3376.99999999768
"MS2" "MS" "TRBV11-2" 2270.99999999826
"MS3" "MS" "TRBV11-2" 6503.99999999738
"MS4" "MS" "TRBV11-2" 2530.99999999763
"MS5" "MS" "TRBV11-2" 4389.999999998
"MS6" "MS" "TRBV11-2" 3837.99999999853
"MS7" "MS" "TRBV11-2" 8970.99999999732
"MS8" "MS" "TRBV11-2" 5701.99999999837
"MS9" "MS" "TRBV11-2" 4213.99999999822
"C1" "C" "TRBV11-3" 1449.99999999973
"C10" "C" "TRBV11-3" 214.999999999828
"C11" "C" "TRBV11-3" 414.999999999877
"C2" "C" "TRBV11-3" 1141.9999999997
"C3" "C" "TRBV11-3" 4515.99999999941
"C4" "C" "TRBV11-3" 1508.99999999973
"C5" "C" "TRBV11-3" 3303.9999999994
"C6" "C" "TRBV11-3" 1066.99999999972
"C7" "C" "TRBV11-3" 960.999999999832
"C8" "C" "TRBV11-3" 826.999999999785
"C9" "C" "TRBV11-3" 1678.99999999977
"MS1" "MS" "TRBV11-3" 416.999999999827
"MS10" "MS" "TRBV11-3" 1168.99999999977
"MS11" "MS" "TRBV11-3" 396.999999999867
"MS12" "MS" "TRBV11-3" 971.999999999455
"MS13" "MS" "TRBV11-3" 338.999999999767
