ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,21.3803794536146,289355
TRBV2,9.23977014364914,125048
TRBV7-2,8.14191568140792,110190
TRBV5-1,4.9614775593021,67147
TRBV7-8,4.60732380795453,62354
TRBV29-1,4.27984426988393,57922
TRBV24-1,3.63020525844061,49130
TRBV15,3.41496430753816,46217
TRBV6-5,3.13765593516023,42464
TRBV6-1,2.72948874917151,36940
TRBV5-6,2.58326085976679,34961
TRBV6-6,2.53545416727318,34314
TRBV11-2,2.30477025078933,31192
TRBV10-3,2.29701182310489,31087
TRBV7-9,2.22009255434779,30046
TRBV12-4,1.7280604595797,23387
TRBV12-3,1.71276527357324,23180
TRBV4-2,1.54865605560059,20959
TRBV11-3,1.41779724198979,19188
TRBV5-5,1.38742853933929,18777
TRBV9,1.36888220268412,18526
TRBV4-1,1.28280060028063,17361
TRBV7-6,1.2613725619141,17071
TRBV19,1.07406195067561,14536
TRBV4-3,0.956207739659678,12941
TRBV14,0.87093892491837,11787
TRBV7-3,0.778650580367336,10538
TRBV27,0.772222168857376,10451
TRBV25-1,0.74044956024493,10021
TRBV5-4,0.667594229798717,9035
TRBV10-2,0.513755692284502,6953
TRBV6-2,0.493583780304973,6680
TRBV6-3,0.476441349611746,6448
TRBV13,0.475480782374626,6435
TRBV30,0.443264835037355,5999
TRBV3-1,0.420211221346464,5687
TRBV6-4,0.383931335698299,5196
TRBV5-8,0.349572584524375,4731
TRBV12-5,0.342996393439474,4642
TRBV28,0.319942779748583,4330
TRBV10-1,0.233713397770154,3163
TRBV11-1,0.223516607099183,3025
TRBV7-7,0.203861923631949,2759
TRBV18,0.0705647470346181,955
TRBV16,0.00746286853455123,101
TRBV6-9,0.00524617491042711,71
TRBV7-4,0.00362059958606941,49
TRBV6-8,0.00133001617447448,18
