IndividualID,ProjectID,SampleNumber,Species,Gender
I190114010001,P19011401,3,"Homo sapiens",Female
I190114010002,P19011401,3,"Homo sapiens",Female
I190114010003,P19011401,3,"Homo sapiens",Female
I190114010004,P19011401,3,"Homo sapiens",Female
I190114010005,P19011401,3,"Homo sapiens",Female
I190114010006,P19011401,3,"Homo sapiens",Female
I190114010007,P19011401,3,"Homo sapiens",Female
I190114010008,P19011401,3,"Homo sapiens",Female
I190114010009,P19011401,3,"Homo sapiens",Female
I190114010010,P19011401,3,"Homo sapiens",Female
I190114010011,P19011401,3,"Homo sapiens",Female
I190114010012,P19011401,3,"Homo sapiens",Female
I190114010013,P19011401,3,"Homo sapiens",Female
I190114010014,P19011401,3,"Homo sapiens",Female
I190114010015,P19011401,3,"Homo sapiens",Female
I190114010016,P19011401,3,"Homo sapiens",Female
