SampleID,IndividualID,ProjectID,VGeneUsage,JGeneUsage,VJGeneUsage,Top10Clone,CDR3Lenth,"UniqueCDR3 AminoAcid Number","UniqueCDR3 Nucleotide Number","UniqueSequence AminoAcid Number","UniqueSequence Nucleotide Number","CDR3AminoAcid Shannon","CDR3Nucleotide Shannon"
S19011401000101,I190114010001,P19011401,-,-,-,-,-,234549,391123,1487222,2278021,14.9,15.28
S19011401000102,I190114010001,P19011401,-,-,-,-,-,60844,105692,475220,851356,9.38,9.74
S19011401000103,I190114010001,P19011401,-,-,-,-,-,96528,162607,685564,1184956,10.53,10.97
S19011401000201,I190114010002,P19011401,-,-,-,-,-,254785,416518,1444451,2123468,15.21,15.66
S19011401000202,I190114010002,P19011401,-,-,-,-,-,88350,148823,665929,1106713,10.76,10.84
S19011401000203,I190114010002,P19011401,-,-,-,-,-,142938,241574,983634,1536750,13,13.38
S19011401000301,I190114010003,P19011401,-,-,-,-,-,313842,525263,1766387,2627798,15.59,16.1
S19011401000302,I190114010003,P19011401,-,-,-,-,-,79781,135573,638307,1136289,10.04,10.46
S19011401000303,I190114010003,P19011401,-,-,-,-,-,138068,239995,923412,1508733,11.02,11.56
S19011401000401,I190114010004,P19011401,-,-,-,-,-,295819,501428,1631210,2423771,15.51,15.96
S19011401000402,I190114010004,P19011401,-,-,-,-,-,82477,142817,602485,1058920,11.08,11.46
S19011401000403,I190114010004,P19011401,-,-,-,-,-,82439,142544,645196,1166771,10.78,11.03
S19011401000501,I190114010005,P19011401,-,-,-,-,-,406332,686810,2441490,3667198,16.3,16.79
S19011401000502,I190114010005,P19011401,-,-,-,-,-,44102,76833,349716,620486,8.03,8.58
S19011401000503,I190114010005,P19011401,-,-,-,-,-,76361,133519,586275,1015465,10.14,10.66
S19011401000601,I190114010006,P19011401,-,-,-,-,-,274624,449571,1671738,2423978,15.58,15.99
S19011401000602,I190114010006,P19011401,-,-,-,-,-,63493,105294,469809,803806,10.01,10.45
S19011401000603,I190114010006,P19011401,-,-,-,-,-,38851,65544,359245,649555,7.49,7.94
S19011401000701,I190114010007,P19011401,-,-,-,-,-,176811,260543,626565,936709,15.89,16.29
S19011401000702,I190114010007,P19011401,-,-,-,-,-,18964,31163,96633,179989,7.73,7.39
S19011401000703,I190114010007,P19011401,-,-,-,-,-,44330,74651,245116,411111,11.05,11.28
S19011401000801,I190114010008,P19011401,-,-,-,-,-,174193,248026,622114,894679,16.14,16.53
S19011401000802,I190114010008,P19011401,-,-,-,-,-,37776,63186,215605,358250,10.69,11.15
S19011401000803,I190114010008,P19011401,-,-,-,-,-,68896,108224,342522,531883,12.04,12.49
S19011401000901,I190114010009,P19011401,-,-,-,-,-,92452,144478,411951,642960,13.29,13.77
S19011401000902,I190114010009,P19011401,-,-,-,-,-,33543,55489,189989,322804,9.29,9.9
S19011401000903,I190114010009,P19011401,-,-,-,-,-,80486,123090,327607,508784,12.95,13.45
S19011401001001,I190114010010,P19011401,-,-,-,-,-,180995,321295,1176102,1891914,12.82,13.07
S19011401001002,I190114010010,P19011401,-,-,-,-,-,72884,128041,536236,973482,9.37,9.76
S19011401001003,I190114010010,P19011401,-,-,-,-,-,298388,502136,1586325,2374066,15.14,15.5
S19011401001101,I190114010011,P19011401,-,-,-,-,-,50999,83782,363895,628876,9.74,10.23
S19011401001102,I190114010011,P19011401,-,-,-,-,-,51997,89950,411546,753741,7.38,7.95
S19011401001103,I190114010011,P19011401,-,-,-,-,-,351651,598201,1925016,2904155,15.82,16.34
S19011401001201,I190114010012,P19011401,-,-,-,-,-,163332,280921,1051885,1677144,12.26,12.77
S19011401001202,I190114010012,P19011401,-,-,-,-,-,89556,158498,663827,1167882,10.46,10.98
S19011401001203,I190114010012,P19011401,-,-,-,-,-,249681,417780,1500858,2308964,14.19,14.75
S19011401001301,I190114010013,P19011401,-,-,-,-,-,121297,215329,820983,1387149,11.67,12.21
S19011401001302,I190114010013,P19011401,-,-,-,-,-,61392,106251,457234,812049,8.95,9.5
S19011401001303,I190114010013,P19011401,-,-,-,-,-,416744,676747,2020112,2915313,16.56,17.08
S19011401001401,I190114010014,P19011401,-,-,-,-,-,126441,188378,486029,725067,15.3,15.74
S19011401001402,I190114010014,P19011401,-,-,-,-,-,22248,37684,126677,223744,7.58,8.12
S19011401001403,I190114010014,P19011401,-,-,-,-,-,53118,86255,272952,451739,11.27,11.74
S19011401001501,I190114010015,P19011401,-,-,-,-,-,179520,268828,650390,979584,15.9,16.38
S19011401001502,I190114010015,P19011401,-,-,-,-,-,24927,38964,116403,200126,7.73,8.35
S19011401001503,I190114010015,P19011401,-,-,-,-,-,73172,116040,330849,535022,11.7,12.19
S19011401001601,I190114010016,P19011401,-,-,-,-,-,150691,217700,557299,820103,15.8,16.16
S19011401001602,I190114010016,P19011401,-,-,-,-,-,39569,58913,167074,270545,9.88,10.41
S19011401001603,I190114010016,P19011401,-,-,-,-,-,80476,120837,343944,538609,12.69,13.09
